stop_id,year,average_lateness,stop_lat,stop_lon,cluster,date
7,2018,341.57676348547716,42.333043,-71.081108,5,2018-01-01
77,2018,428.00361402240696,42.34995,-71.089148,5,2018-01-01
82,2018,481.5880650994575,42.342478,-71.084701,5,2018-01-01
84,2018,474.9880737260571,42.339074,-71.080299,5,2018-01-01
87,2018,349.59559089266355,42.339459,-71.080362,5,2018-01-01
89,2018,441.9938892882818,42.342303,-71.084121,5,2018-01-01
93,2018,415.3109787234043,42.348005,-71.088033,5,2018-01-01
95,2018,366.9467817331895,42.350773,-71.089334,5,2018-01-01
97,2018,415.7923277425204,42.359349,-71.093716,5,2018-01-01
101,2018,425.8189964157706,42.362988,-71.099486,5,2018-01-01
102,2018,441.0008758927368,42.365291,-71.103404,5,2018-01-01
108,2018,417.51974040021634,42.37027,-71.112998,5,2018-01-01
114,2018,359.78184713375794,42.366114,-71.060067,5,2018-01-01
134,2018,477.3194637078132,42.320775,-71.061892,5,2018-01-01
188,2018,405.61230052813903,42.34157,-71.083092,5,2018-01-01
224,2018,426.1073326248672,42.359101,-71.051566,5,2018-01-01
378,2018,352.0885391829598,42.294378,-71.086043,5,2018-01-01
395,2018,584.9,42.323909,-71.082602,5,2018-01-01
468,2018,363.84570728246143,42.305459,-71.0807,5,2018-01-01
473,2018,381.2330103359173,42.305298,-71.080324,5,2018-01-01
478,2018,369.96646891926747,42.299101,-71.073547,5,2018-01-01
522,2018,374.80536912751677,42.30078,-71.102356,5,2018-01-01
552,2018,396.10305228165606,42.30382,-71.071992,5,2018-01-01
854,2018,450.3561151079137,42.334748,-71.07511,5,2018-01-01
892,2018,350.1357989836251,42.352649,-71.055136,5,2018-01-01
1084,2018,340.8989128900184,42.349027,-71.153531,5,2018-01-01
1111,2018,369.29873015873017,42.353931,-71.136365,5,2018-01-01
1189,2018,384.81923714759535,42.361317,-71.117952,5,2018-01-01
1195,2018,422.4978693181818,42.354278,-71.135846,5,2018-01-01
1222,2018,363.4141761052247,42.331191,-71.094468,5,2018-01-01
1292,2018,450.1274869109948,42.339199,-71.135066,5,2018-01-01
1372,2018,426.60271418984416,42.341909,-71.121143,5,2018-01-01
1378,2018,424.16985770692094,42.350034,-71.130722,5,2018-01-01
1430,2018,359.50666666666666,42.375048,-71.11234,5,2018-01-01
1515,2018,370.50046576618536,42.303753,-71.071158,5,2018-01-01
1521,2018,401.0182562902282,42.33851,-71.107918,5,2018-01-01
1526,2018,378.62215513237345,42.331857,-71.116931,5,2018-01-01
1533,2018,390.474705760892,42.329739,-71.128527,5,2018-01-01
1535,2018,389.08890264026405,42.326526,-71.143465,5,2018-01-01
1540,2018,403.92780528052805,42.32361,-71.163925,5,2018-01-01
1741,2018,386.5219971229921,42.309876,-71.091897,5,2018-01-01
1773,2018,387.6777932313398,42.349273,-71.109993,5,2018-01-01
1775,2018,524.3748645720477,42.346727,-71.105259,5,2018-01-01
1778,2018,514.1874775098956,42.340455,-71.105828,5,2018-01-01
1779,2018,340.79395503133065,42.338701,-71.107013,5,2018-01-01
1780,2018,516.2747569319409,42.337436,-71.104448,5,2018-01-01
1784,2018,404.32128190675576,42.337416,-71.095079,5,2018-01-01
1804,2018,351.30720461095103,42.339097,-71.106836,5,2018-01-01
1807,2018,346.89416315049226,42.345214,-71.104266,5,2018-01-01
1994,2018,355.01150937191716,42.346188,-71.152449,5,2018-01-01
2296,2018,351.1204568357407,42.39586,-71.128749,5,2018-01-01
2381,2018,332.5049891262633,42.401653,-71.116923,5,2018-01-01
2388,2018,339.1718578233785,42.389153,-71.097269,5,2018-01-01
2398,2018,373.373394671267,42.389067,-71.097025,5,2018-01-01
2404,2018,391.87516752824047,42.396761,-71.103896,5,2018-01-01
2412,2018,356.2750174250722,42.414151,-71.125672,5,2018-01-01
2418,2018,383.77960362513693,42.421184,-71.13678,5,2018-01-01
2439,2018,415.65016627078387,42.373018,-71.100107,5,2018-01-01
2441,2018,346.01179723502304,42.369626,-71.100892,5,2018-01-01
2444,2018,441.2594859241126,42.365266,-71.105242,5,2018-01-01
2528,2018,373.30721003134795,42.376374,-71.095322,5,2018-01-01
2531,2018,427.84224201930215,42.378346,-71.094513,5,2018-01-01
2561,2018,341.289224468902,42.363592,-71.129142,5,2018-01-01
2612,2018,395.85638986055875,42.379547,-71.095164,5,2018-01-01
