stop_id,year,average_lateness,stop_lat,stop_lon,cluster,highlight,date
1683,2018,365.85359038837663,42.467939,-71.178331,1,1,2018-01-01
1687,2018,394.3416276894294,42.47988,-71.185216,1,1,2018-01-01
1692,2018,404.7356770833333,42.492411,-71.193675,1,1,2018-01-01
1695,2018,307.5827814569536,42.504893,-71.195784,1,1,2018-01-01
7878,2018,340.940912795436,42.448146,-71.228563,1,1,2018-01-01
8451,2018,350.3158653846154,42.476346,-71.251498,1,1,2018-01-01
18246,2018,399.5234567901235,42.486636,-71.205172,1,1,2018-01-01
49806,2018,333.58520475561426,42.496188,-71.232269,1,1,2018-01-01
49848,2018,359.3125,42.487986,-71.225332,1,1,2018-01-01
49917,2018,424.8210712183637,42.479098,-71.151629,1,1,2018-01-01
49927,2018,407.4667451442025,42.468052,-71.178464,1,1,2018-01-01
49943,2018,320.21447028423773,42.488429,-71.225437,1,1,2018-01-01
78988,2018,308.9453781512605,42.476167,-71.252434,1,1,2018-01-01
2783,2019,430.25186766275345,42.255826,-71.124343,4,1,2019-01-01
6378,2019,389.9811555555556,42.2563,-71.12069,4,1,2019-01-01
6390,2019,428.81460879080794,42.256279,-71.120718,4,1,2019-01-01
2,2020,149.68224168322095,42.332324,-71.081252,0,1,2020-01-01
3,2020,53.784462740130884,42.333021,-71.080799,0,1,2020-01-01
4,2020,34.929935532802425,42.335164,-71.078518,0,1,2020-01-01
5,2020,27.3399924896733,42.336339,-71.07707,0,1,2020-01-01
7,2020,65.84178250204415,42.333043,-71.081108,0,1,2020-01-01
8,2020,150.9836956521739,42.331202,-71.070724,0,1,2020-01-01
13,2020,54.08163398337769,42.329962,-71.057625,0,1,2020-01-01
20,2020,10.495649177220642,42.335377,-71.045728,0,1,2020-01-01
21,2020,-96.37625846604429,42.335423,-71.044136,0,1,2020-01-01
25,2020,-62.91847121045804,42.335567,-71.03554,0,1,2020-01-01
33,2020,6.769696767410424,42.338537,-71.031181,0,1,2020-01-01
41,2020,147.93060540799235,42.335658,-71.035628,0,1,2020-01-01
45,2020,140.47850327966606,42.335505,-71.044151,0,1,2020-01-01
55,2020,-75.98309211214172,42.336361,-71.077214,0,1,2020-01-01
59,2020,-308.7411133103766,42.336295,-71.076941,0,1,2020-01-01
60,2020,-100.62364862830127,42.334963,-71.078951,0,1,2020-01-01
61,2020,-100.81260412132855,42.332781,-71.081246,0,1,2020-01-01
62,2020,-299.4972760709051,42.332045,-71.081738,0,1,2020-01-01
64,2020,-36.51719760197484,42.329789,-71.083887,0,1,2020-01-01
67,2020,-30.36689238802317,42.370044,-71.113514,0,1,2020-01-01
72,2020,-55.073197332177465,42.364915,-71.103074,0,1,2020-01-01
75,2020,-151.08375531425168,42.358673,-71.093551,0,1,2020-01-01
79,2020,-241.32139376218325,42.347671,-71.088092,0,1,2020-01-01
93,2020,79.93797407068696,42.348005,-71.088033,0,1,2020-01-01
97,2020,9.080236463791483,42.359349,-71.093716,0,1,2020-01-01
102,2020,-23.13826988132954,42.365291,-71.103404,0,1,2020-01-01
108,2020,-69.72167963509526,42.37027,-71.112998,0,1,2020-01-01
110,2020,-4.790343228200371,42.373111,-71.117653,0,1,2020-01-01
111,2020,-9.281438571083756,42.317184,-71.040238,0,1,2020-01-01
113,2020,-272.69298762522095,42.364737,-71.062198,0,1,2020-01-01
114,2020,169.05126694166177,42.366114,-71.060067,0,1,2020-01-01
117,2020,-0.30071110373260285,42.361847,-71.057724,0,1,2020-01-01
120,2020,-40.86230876216968,42.277603,-71.18138,0,1,2020-01-01
121,2020,-40.886898070076825,42.320511,-71.05178,0,1,2020-01-01
122,2020,25.712220017011624,42.321113,-71.056267,0,1,2020-01-01
123,2020,-17.449809551714033,42.320041,-71.059798,0,1,2020-01-01
128,2020,193.86909090909091,42.327984,-71.067744,0,1,2020-01-01
134,2020,47.18356359203576,42.320775,-71.061892,0,1,2020-01-01
136,2020,-109.21712942559131,42.32095,-71.056004,0,1,2020-01-01
141,2020,17.760622855634733,42.395752,-71.141584,0,1,2020-01-01
142,2020,-131.87861220121297,42.317207,-71.040611,0,1,2020-01-01
148,2020,40.33723865314092,42.346575,-71.064724,0,1,2020-01-01
150,2020,58.49493041123497,42.342556,-71.057015,0,1,2020-01-01
151,2020,68.52437609604749,42.342664,-71.056949,0,1,2020-01-01
157,2020,47.324361358520115,42.335582,-71.045971,0,1,2020-01-01
175,2020,-100.9191955491668,42.350011,-71.077432,0,1,2020-01-01
176,2020,83.81067048608003,42.347343,-71.076035,0,1,2020-01-01
178,2020,17.566669744252607,42.349505,-71.076639,0,1,2020-01-01
180,2020,199.6673060156931,42.31105,-71.05668,0,1,2020-01-01
185,2020,72.0196981325147,42.267715,-71.092067,0,1,2020-01-01
187,2020,-284.35483172816794,42.341553,-71.083328,0,1,2020-01-01
188,2020,147.11678851808887,42.34157,-71.083092,0,1,2020-01-01
190,2020,41.71733966745843,42.358789,-71.056733,0,1,2020-01-01
214,2020,100.06785714285714,42.351012,-71.043647,0,1,2020-01-01
224,2020,199.72095808383233,42.359101,-71.051566,0,1,2020-01-01
236,2020,154.10093896713616,42.359022,-71.052369,0,1,2020-01-01
258,2020,108.18033409263478,42.332673,-71.05098,0,1,2020-01-01
268,2020,86.28059071729957,42.331676,-71.029247,0,1,2020-01-01
275,2020,173.4977523498161,42.331565,-71.030048,0,1,2020-01-01
286,2020,174.56330446992746,42.332782,-71.050957,0,1,2020-01-01
322,2020,179.64346262522477,42.299071,-71.064001,0,1,2020-01-01
323,2020,34.532248761957796,42.299807,-71.062219,0,1,2020-01-01
325,2020,121.330081300813,42.298197,-71.060956,0,1,2020-01-01
334,2020,55.003605297890374,42.284195,-71.063879,0,1,2020-01-01
362,2020,195.399248434238,42.318764,-71.063583,0,1,2020-01-01
371,2020,98.11915912719532,42.29017,-71.070633,0,1,2020-01-01
378,2020,55.12482424071991,42.294378,-71.086043,0,1,2020-01-01
383,2020,69.18201586261691,42.302768,-71.085185,0,1,2020-01-01
386,2020,41.74872719558761,42.310509,-71.083162,0,1,2020-01-01
390,2020,-3.042442569897607,42.316257,-71.082891,0,1,2020-01-01
395,2020,-257.5148741418764,42.323909,-71.082602,0,1,2020-01-01
396,2020,-14.19652378156195,42.325547,-71.083166,0,1,2020-01-01
407,2020,61.20006215208345,42.316227,-71.083032,0,1,2020-01-01
412,2020,51.44558244838553,42.310421,-71.083262,0,1,2020-01-01
415,2020,9.234940764224929,42.303293,-71.08537,0,1,2020-01-01
419,2020,26.847148798732462,42.295595,-71.087913,0,1,2020-01-01
426,2020,58.00588188643333,42.289943,-71.069975,0,1,2020-01-01
463,2020,92.22509095176622,42.299691,-71.073911,0,1,2020-01-01
468,2020,59.78387333235596,42.305459,-71.0807,0,1,2020-01-01
473,2020,74.48661302121434,42.305298,-71.080324,0,1,2020-01-01
478,2020,37.914259742544644,42.299101,-71.073547,0,1,2020-01-01
494,2020,179.35937997664297,42.278512,-71.070513,0,1,2020-01-01
499,2020,88.84560720113703,42.278931,-71.080231,0,1,2020-01-01
507,2020,51.502030505547914,42.278487,-71.078726,0,1,2020-01-01
511,2020,72.57705232837255,42.279234,-71.069699,0,1,2020-01-01
522,2020,204.92331288343559,42.30078,-71.102356,0,1,2020-01-01
526,2020,51.576965517241376,42.284037,-71.091028,0,1,2020-01-01
533,2020,-20.87711719904513,42.280436,-71.065696,0,1,2020-01-01
536,2020,173.1552346570397,42.282077,-71.065378,0,1,2020-01-01
537,2020,134.95444769028282,42.280386,-71.0659,0,1,2020-01-01
543,2020,80.51469160857673,42.284982,-71.092672,0,1,2020-01-01
546,2020,37.375077221780955,42.298585,-71.101828,0,1,2020-01-01
552,2020,-38.29379522034642,42.30382,-71.071992,0,1,2020-01-01
562,2020,176.30052681992336,42.30397,-71.071953,0,1,2020-01-01
565,2020,170.01247002398082,42.306001,-71.078119,0,1,2020-01-01
571,2020,184.2927796327212,42.272456,-71.068104,0,1,2020-01-01
574,2020,211.67435022933083,42.271399,-71.074869,0,1,2020-01-01
588,2020,129.50072358900144,42.271295,-71.074811,0,1,2020-01-01
591,2020,41.09976876385008,42.272915,-71.067814,0,1,2020-01-01
602,2020,145.22763294877515,42.286987,-71.128796,0,1,2020-01-01
604,2020,148.3437649450024,42.281494,-71.133514,0,1,2020-01-01
609,2020,137.1303737340543,42.272872,-71.143932,0,1,2020-01-01
616,2020,-13.6228114393252,42.261233,-71.157252,0,1,2020-01-01
621,2020,96.62797218075228,42.261087,-71.157076,0,1,2020-01-01
625,2020,57.52940084179252,42.267639,-71.149908,0,1,2020-01-01
628,2020,41.36070943023112,42.27292,-71.143477,0,1,2020-01-01
633,2020,62.33856265889502,42.281294,-71.133567,0,1,2020-01-01
636,2020,41.57459793719283,42.28666,-71.127791,0,1,2020-01-01
730,2020,-11.908185392589063,42.361836,-71.100647,0,1,2020-01-01
763,2020,141.19571587349702,42.26028,-71.158587,0,1,2020-01-01
774,2020,9.581850934474218,42.272122,-71.171854,0,1,2020-01-01
779,2020,66.5668227787959,42.278107,-71.160282,0,1,2020-01-01
780,2020,115.98569701853344,42.278725,-71.159427,0,1,2020-01-01
781,2020,79.92909202669476,42.280826,-71.158096,0,1,2020-01-01
787,2020,71.19413147690148,42.285932,-71.147524,0,1,2020-01-01
797,2020,60.80027592061976,42.286921,-71.130665,0,1,2020-01-01
804,2020,145.09512436799716,42.286034,-71.147975,0,1,2020-01-01
810,2020,138.28310662571303,42.280549,-71.158246,0,1,2020-01-01
812,2020,153.75090007472318,42.278223,-71.160401,0,1,2020-01-01
820,2020,79.65151515151516,42.271777,-71.171963,0,1,2020-01-01
853,2020,31.25493545937737,42.284549,-71.16977,0,1,2020-01-01
875,2020,73.69950624836144,42.300479,-71.113634,0,1,2020-01-01
879,2020,-39.478476976460655,42.336114,-71.035539,0,1,2020-01-01
886,2020,50.665182161192554,42.336037,-71.03534,0,1,2020-01-01
889,2020,25.670007252587855,42.346836,-71.043514,0,1,2020-01-01
890,2020,88.06074954664517,42.347405,-71.044125,0,1,2020-01-01
892,2020,123.38283847300241,42.352649,-71.055136,0,1,2020-01-01
899,2020,-44.313928219627186,42.348918,-71.095456,0,1,2020-01-01
900,2020,-25.767435684647303,42.363628,-71.185536,0,1,2020-01-01
903,2020,93.10838108044902,42.357134,-71.185943,0,1,2020-01-01
904,2020,-55.151277013752456,42.355599,-71.182378,0,1,2020-01-01
912,2020,132.29423600426085,42.350468,-71.168767,0,1,2020-01-01
913,2020,27.112784174785947,42.350413,-71.166553,0,1,2020-01-01
918,2020,79.6124916051041,42.349043,-71.154176,0,1,2020-01-01
925,2020,23.03588143525741,42.353091,-71.13843,0,1,2020-01-01
926,2020,57.4565492590662,42.353347,-71.136687,0,1,2020-01-01
931,2020,-4.87985469309258,42.35214,-71.126219,0,1,2020-01-01
937,2020,-76.35499772282797,42.350075,-71.108712,0,1,2020-01-01
954,2020,89.31025494827726,42.350453,-71.108831,0,1,2020-01-01
959,2020,54.29738020904031,42.352224,-71.123515,0,1,2020-01-01
964,2020,65.1938775510204,42.353344,-71.133875,0,1,2020-01-01
966,2020,31.419967515456356,42.353442,-71.137948,0,1,2020-01-01
973,2020,-21.086667746638586,42.349206,-71.15404,0,1,2020-01-01
979,2020,-49.44964135396289,42.350609,-71.168636,0,1,2020-01-01
987,2020,-64.47966859547607,42.355606,-71.182247,0,1,2020-01-01
988,2020,72.3194087403599,42.35804,-71.184642,0,1,2020-01-01
994,2020,81.2751926919783,42.346204,-71.152305,0,1,2020-01-01
1026,2020,99.05548001087844,42.348296,-71.153761,0,1,2020-01-01
1043,2020,27.000582233558834,42.361668,-71.144413,0,1,2020-01-01
1051,2020,-50.356984581294434,42.363248,-71.128518,0,1,2020-01-01
1060,2020,77.14560128471722,42.365114,-71.104311,0,1,2020-01-01
1070,2020,183.00041909196742,42.363284,-71.129148,0,1,2020-01-01
1077,2020,131.30906409971067,42.361858,-71.144012,0,1,2020-01-01
1084,2020,40.691872888950165,42.349027,-71.153531,0,1,2020-01-01
1110,2020,21.5080725817974,42.353583,-71.138173,0,1,2020-01-01
1111,2020,151.38961698669104,42.353931,-71.136365,0,1,2020-01-01
1116,2020,-55.7250601386727,42.360621,-71.118743,0,1,2020-01-01
1123,2020,80.1592851187995,42.364935,-71.104405,0,1,2020-01-01
1128,2020,30.795701817312292,42.308588,-71.115487,0,1,2020-01-01
1160,2020,-50.465369734619365,42.319449,-71.111798,0,1,2020-01-01
1165,2020,42.651237522220704,42.316446,-71.097563,0,1,2020-01-01
1187,2020,87.05684066871375,42.315596,-71.098606,0,1,2020-01-01
1188,2020,101.02920209221075,42.315207,-71.097652,0,1,2020-01-01
1189,2020,130.18867655447804,42.361317,-71.117952,0,1,2020-01-01
1195,2020,26.309260588657573,42.354278,-71.135846,0,1,2020-01-01
1214,2020,-39.57980741173038,42.351196,-71.167349,0,1,2020-01-01
1222,2020,-36.75013688041483,42.331191,-71.094468,0,1,2020-01-01
1235,2020,200.37152153437793,42.343248,-71.072883,0,1,2020-01-01
1241,2020,180.924646378054,42.351748,-71.067101,0,1,2020-01-01
1258,2020,109.52368624550314,42.331311,-71.094831,0,1,2020-01-01
1259,2020,6.245283018867925,42.33109,-71.090881,0,1,2020-01-01
