route_id,month,lateness,size,average_lateness
121,2018-09,740568.0,1708,433.58782201405154
121,2018-10,928631.0,2048,453.43310546875
121,2018-11,909746.0,1900,478.81368421052633
121,2018-12,420145.0,1884,223.00690021231424
131,2018-08,1765957.0,6779,260.50405664552295
131,2018-09,2145349.0,5578,384.6089996414485
131,2018-10,2363299.0,6752,350.0146623222749
131,2018-11,2035117.0,6041,336.88412514484355
131,2018-12,1692667.0,5734,295.1982908964074
132,2018-08,853707.0,5260,162.30171102661598
132,2018-09,1171504.0,4430,264.44785553047404
132,2018-10,1196212.0,5118,233.726455646737
132,2018-11,1063627.0,4729,224.9158384436456
132,2018-12,1046250.0,4565,229.1894852135816
134,2018-08,3309053.0,14625,226.26003418803415
134,2018-09,4634889.0,13687,338.63439760356545
134,2018-10,4806206.0,14958,321.313410883808
134,2018-11,3704389.0,13952,265.5095326834862
134,2018-12,2649669.0,13600,194.82860294117648
136,2018-08,1057819.0,7468,141.64689341189074
136,2018-09,1432214.0,6792,210.86778563015312
136,2018-10,1168592.0,7766,150.47540561421582
136,2018-11,1017481.0,7063,144.0579074047855
136,2018-12,763853.0,6790,112.49675994108983
137,2018-08,1629279.0,6789,239.988068935042
137,2018-09,1948131.0,5964,326.6483903420523
137,2018-10,1854287.0,6792,273.01045347467607
137,2018-11,1612880.0,6214,259.55584164789184
137,2018-12,1412477.0,6143,229.93276900537197
14,2018-08,318760.0,8896,35.8318345323741
14,2018-09,1824914.0,8147,223.99828157604023
14,2018-10,1040851.0,9071,114.74490133392128
14,2018-11,844788.0,8296,101.83076181292188
14,2018-12,453247.0,8445,53.670455891059795
15,2018-08,6056689.0,32940,183.8703400121433
15,2018-09,8741372.0,31860,274.3682360326428
15,2018-10,7891005.0,33735,233.9115162294353
15,2018-11,6797088.0,31733,214.1961995399111
15,2018-12,5440202.0,33246,163.63478313180534
16,2018-08,4492946.0,20432,219.89751370399372
16,2018-09,5947728.0,19414,306.36283094673945
16,2018-10,5646987.0,21492,262.74832495812393
16,2018-11,4578758.0,20294,225.6212673696659
16,2018-12,3528956.0,20206,174.6489161635158
17,2018-08,1631618.0,11564,141.09460394327223
17,2018-09,2841290.0,10818,262.64466629691253
17,2018-10,2596282.0,11813,219.7817658511809
17,2018-11,2307890.0,11103,207.86183914257407
17,2018-12,1929509.0,11213,172.07785605993044
170,2018-08,258711.0,567,456.2804232804233
170,2018-09,223645.0,500,447.29
170,2018-10,230230.0,584,394.22945205479454
170,2018-11,215172.0,546,394.0879120879121
170,2018-12,132916.0,533,249.3733583489681
171,2018-08,11795.0,241,48.941908713692946
171,2018-09,-7178.0,242,-29.66115702479339
171,2018-10,7901.0,236,33.478813559322035
171,2018-11,12406.0,222,55.88288288288288
171,2018-12,-9688.0,220,-44.03636363636364
18,2018-08,570015.0,2868,198.75
18,2018-09,1006159.0,2623,383.5909264201296
18,2018-10,823468.0,2974,276.8890383322125
18,2018-11,781021.0,2762,282.7737146994931
18,2018-12,571846.0,2736,209.0080409356725
19,2018-08,2404552.0,13878,173.26358264879664
19,2018-09,5947411.0,13182,451.17668032165074
19,2018-10,6534850.0,15677,416.8431460100784
19,2018-11,5436836.0,14160,383.9573446327683
19,2018-12,3510505.0,13382,262.33036915259305
191,2018-08,5767.0,636,9.06761006289308
191,2018-09,51580.0,1134,45.48500881834215
191,2018-10,64544.0,1218,52.991789819376024
191,2018-11,40081.0,1153,34.7623590633131
191,2018-12,47699.0,1346,35.437592867756315
192,2018-08,51954.0,457,113.68490153172868
192,2018-09,48420.0,389,124.47300771208226
192,2018-10,57610.0,446,129.17040358744396
192,2018-11,29731.0,419,70.95704057279237
192,2018-12,73781.0,416,177.35817307692307
193,2018-08,193977.0,472,410.96822033898303
193,2018-09,140874.0,430,327.6139534883721
